region,date,year,month,mean_ndvi,median_ndvi,stress_share,high_health_share,valid_pixels,bbox
California Central Valley,2014-03-01,2014,3,0.4131811559200287,0.4313499927520752,0.3425929508260146,0.23352806902154988,25847,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-04-01,2014,4,0.43344026803970337,0.4613499939441681,0.31327865046815756,0.2752069952797338,25846,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-05-01,2014,5,0.4048498868942261,0.4088500142097473,0.3351828305012908,0.19099911378260703,25953,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-06-01,2014,6,0.37844786047935486,0.3638499975204468,0.38209824507625106,0.15326844968963138,26098,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-07-01,2014,7,0.37793198227882385,0.35635000467300415,0.39601194121249234,0.16319657072872015,26128,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-08-01,2014,8,0.37746259570121765,0.35635000467300415,0.3988284390673456,0.16348252230177265,26119,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-09-01,2014,9,0.3659684658050537,0.3413499891757965,0.4138419702018461,0.14247960473399976,26109,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-10-01,2014,10,0.36238381266593933,0.3413499891757965,0.42283371019047256,0.13869620204652588,26093,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-11-01,2014,11,0.3903675675392151,0.3788500130176544,0.3656619113360945,0.16954287467402976,26076,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-12-01,2014,12,0.45516595244407654,0.491349995136261,0.2785043144774688,0.2966442953020134,26075,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-01-01,2015,1,0.4460356831550598,0.491349995136261,0.29789868813126424,0.2999883905421617,25841,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-02-01,2015,2,0.4741138517856598,0.5363500118255615,0.27041189843178054,0.38669903286710594,25953,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-03-01,2015,3,0.4689798355102539,0.5213500261306763,0.2632978723404255,0.3639377119950663,25944,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-04-01,2015,4,0.430963397026062,0.44635000824928284,0.2950358436753257,0.2387265859862792,25946,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-05-01,2015,5,0.4052537679672241,0.4013499915599823,0.32152745731425936,0.1844331641285956,26004,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-06-01,2015,6,0.397139310836792,0.3788500130176544,0.3590018371096142,0.1747933251684017,26128,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-07-01,2015,7,0.39168792963027954,0.3638499975204468,0.3793670837638235,0.17391803466880956,26133,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-08-01,2015,8,0.3805530369281769,0.3488500118255615,0.40137851809305,0.1604441891633161,26115,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-09-01,2015,9,0.3685142695903778,0.3413499891757965,0.4142238571483312,0.13729547457562172,26097,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-10-01,2015,10,0.36975377798080444,0.3413499891757965,0.41251053397686355,0.13874205163563932,26106,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-11-01,2015,11,0.3824891448020935,0.3713499903678894,0.36369235506967434,0.14566171375779505,25978,"-122.8,35.0,-118.2,40.4"
California Central Valley,2015-12-01,2015,12,0.40681159496307373,0.41635000705718994,0.33882833262720025,0.1918499402996572,25963,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-01-01,2016,1,0.40346843004226685,0.4388499855995178,0.36823273179838206,0.23315961418792783,25712,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-02-01,2016,2,0.4454463720321655,0.491349995136261,0.3126355748373102,0.31581189959714906,25816,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-03-01,2016,3,0.4708073139190674,0.5213500261306763,0.285043829028004,0.3880226514622605,25782,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-04-01,2016,4,0.4710831344127655,0.5138499736785889,0.2553636434048486,0.3523739446983193,25822,"-122.8,35.0,-118.2,40.4"
California Central Valley,2016-05-01,2016,5,0.43669840693473816,0.44635000824928284,0.2720901417176489,0.2299620537442887,25826,"-122.8,35.0,-118.2,40.4"
